Ruta,TypRuta,Provyta,Delyta,Avst1,Rikt1,Avst2,Rikt2,Avst3,Rikt3,Avst4,Rikt4,Avst5,Rikt5,Avst6,Rikt6,Avst7,Rikt7,Avst8,Rikt8
8,1,63,2,100,163,100,45,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
8,1,63,3,100,340,100,220,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
9,1,1,2,100,173,69,179,100,125,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,1,2,100,173,69,179,100,125,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,1,3,100,125,69,179,100,342,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,1,3,100,125,69,179,100,342,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,2,1,100,223,42,238,15,45,78,42,100,28,-2,-1,-1,-1,-1,-1
9,1,2,1,100,223,42,238,15,45,78,42,100,28,-2,-1,-1,-1,-1,-1
9,1,7,1,100,241,26,118,100,94,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,7,1,100,241,26,118,100,94,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,8,2,100,98,100,245,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,8,2,100,98,100,245,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,50,1,100,235,100,71,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
9,1,51,2,100,142,100,359,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
9,1,61,1,100,221,29,96,100,26,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
9,1,62,2,100,126,23,264,100,306,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
9,1,70,1,100,351,100,156,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
9,1,71,1,100,293,100,18,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
9,1,73,1,100,344,100,166,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
10,1,3,2,100,139,100,10,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
10,1,3,2,100,139,100,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,7,1,100,86,100,162,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
10,1,7,1,100,86,100,162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,9,2,100,80,100,248,100,321,100,46,-2,-1,-2,-1,-2,-1,-2,-1
10,1,9,2,100,80,100,248,100,321,100,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,12,2,100,143,27,255,100,33,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
10,1,12,2,100,143,27,255,100,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,15,2,100,122,100,304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,0,53,1,100,243,83,62,100,69,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,53,1,100,243,83,62,100,69,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
10,1,60,1,100,261,100,160,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
10,1,60,1,100,261,100,160,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
10,0,86,2,100,113,19,110,100,342,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,86,2,100,113,19,110,100,342,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
11,1,51,1,100,187,100,62,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
11,1,62,1,100,306,37,145,100,128,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
11,1,70,1,100,253,100,126,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
11,1,73,2,100,132,100,6,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
12,1,3,1,100,300,76,296,30,227,100,141,-2,-1,-2,-1,-2,-1,-2,-1
12,1,3,1,100,300,76,296,30,227,100,141,-2,-1,-1,-1,-1,-1,-1,-1
12,1,3,3,100,67,77,39,76,296,100,300,-2,-1,-1,-1,-1,-1,-1,-1
12,1,3,3,100,67,77,39,76,296,100,300,-2,-1,-2,-1,-2,-1,-2,-1
12,1,5,1,100,257,100,142,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
12,1,5,1,100,257,100,142,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,55,2,100,33,100,325,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
12,1,55,2,100,33,100,325,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
12,1,60,1,100,245,100,110,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,60,1,100,245,100,110,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
12,1,62,2,100,172,100,345,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,62,2,100,172,100,345,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
12,1,82,2,100,147,70,176,52,204,54,248,82,298,100,319,-2,-1,-2,-1
12,1,82,2,100,147,70,176,52,204,54,248,82,298,100,319,-2,-1,-2,-1
12,1,283,1,100,33,72,360,100,175,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
13,1,7,1,100,217,100,112,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
13,1,7,1,100,217,100,112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,7,3,100,322,80,312,100,269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,7,3,100,322,80,312,100,269,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
13,1,7,4,100,85,35,81,100,1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
13,1,7,4,100,85,35,81,100,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,8,2,100,44,73,51,100,277,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,8,2,100,44,73,51,100,277,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
13,1,50,1,100,255,100,150,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
13,1,50,3,100,20,42,185,100,275,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
13,1,61,1,100,35,61,45,67,85,100,95,-2,-1,-2,-1,-2,-1,-2,-1
13,1,62,1,100,186,100,330,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
13,1,63,2,100,110,100,360,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,9,2,100,168,100,13,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,9,2,100,168,100,13,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,50,2,100,350,100,209,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,50,2,100,350,100,209,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,53,1,100,205,100,15,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,53,1,100,205,100,15,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,219,1,100,333,100,139,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,237,1,100,45,11,64,100,150,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,295,2,100,74,100,192,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,334,2,100,66,100,275,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,354,2,100,70,100,244,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,398,2,100,150,100,18,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
14,1,398,3,100,342,100,216,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,6,2,100,85,100,329,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,1,6,2,100,85,100,329,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,1,11,1,100,192,19,282,100,15,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,1,11,1,100,192,19,282,100,15,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,1,12,1,100,319,54,13,100,48,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,1,12,1,100,319,54,13,100,48,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,1,50,1,100,249,74,120,100,110,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,50,2,100,353,65,313,74,120,100,249,-2,-1,-2,-1,-2,-1,-2,-1
15,1,51,1,100,226,78,291,100,26,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,52,1,100,347,100,83,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,53,1,100,300,100,46,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,221,2,100,68,79,245,100,234,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,226,2,100,351,100,196,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,235,2,100,9,100,245,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,242,2,100,62,57,303,100,244,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,258,2,100,178,21,123,100,47,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,258,3,100,47,21,123,100,314,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,265,1,100,260,100,155,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,272,2,100,162,56,205,45,120,100,44,-2,-1,-2,-1,-2,-1,-2,-1
15,1,308,1,100,221,100,115,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,308,3,100,23,100,284,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
15,1,368,1,100,294,100,91,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
16,1,4,1,100,30,26,68,100,84,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
16,1,4,1,100,30,26,68,100,84,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,1,6,1,100,72,100,163,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,1,6,1,100,72,100,163,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
16,1,9,2,100,21,100,198,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,1,9,2,100,21,100,198,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
16,1,52,1,100,305,78,309,54,332,100,94,-2,-1,-2,-1,-2,-1,-2,-1
16,1,52,1,100,305,78,309,54,332,100,94,-2,-1,-1,-1,-1,-1,-1,-1
16,1,73,2,100,116,100,305,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,1,73,2,100,116,100,305,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1
17,1,9,1,100,203,100,35,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-2
